Sample	Filename	File type	Encoding	Total Sequences	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
ERR2036629_1	ERR2036629_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24278349.0	0.0	126.0	56.0	3.74564142919466	126.0	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	warn
ERR2036629_2	ERR2036629_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	24278349.0	0.0	126.0	56.0	4.230095007166612	126.0	pass	pass	fail	pass	fail	fail	pass	pass	fail	fail	warn
ERR2036629_P1.trim	ERR2036629_P1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21793091.0	0.0	40-126	56.0	4.5923229489551725	117.84820675506747	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ERR2036629_P2.trim	ERR2036629_P2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21793091.0	0.0	40-126	57.0	4.28800717559266	123.77193414188011	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
ERR2036629_S1.trim	ERR2036629_S1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	2433801.0	0.0	40-126	56.0	13.037828849416028	84.97252569129522	pass	pass	fail	pass	fail	fail	pass	warn	fail	warn	pass
ERR2036629_S2.trim	ERR2036629_S2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	10914.0	0.0	40-126	55.0	73.24537291552134	94.28513835440718	pass	pass	fail	pass	warn	fail	pass	warn	pass	warn	pass
ERR2036630_1	ERR2036630_1.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25190273.0	0.0	126.0	56.0	3.2097009441049567	126.0	pass	fail	fail	pass	fail	fail	pass	pass	fail	fail	fail
ERR2036630_2	ERR2036630_2.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	25190273.0	0.0	126.0	56.0	3.9148117558207787	126.0	pass	pass	fail	pass	fail	fail	pass	pass	fail	warn	fail
ERR2036630_P1.trim	ERR2036630_P1.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21987020.0	0.0	40-126	56.0	3.8375204131937477	118.82962984524505	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
ERR2036630_P2.trim	ERR2036630_P2.trim.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	21987020.0	0.0	40-126	56.0	4.04306274118863	123.08375004889248	pass	pass	pass	pass	fail	warn	pass	warn	fail	warn	pass
