"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"DBLOAMIM_00001",0,NA,NA,NA,NA,NA
"DBLOAMIM_00002",0,NA,NA,NA,NA,NA
"DBLOAMIM_00003",2135.58390749497,3.07366290249971,0.64202642745546,4.7874398483588,1.68922343860488e-06,2.57785734448914e-05
"DBLOAMIM_00004",0,NA,NA,NA,NA,NA
"DBLOAMIM_00005",0,NA,NA,NA,NA,NA
"DBLOAMIM_00006",0.107736497767475,0.700976802244202,4.44656495670812,0.157644565877015,0.874736884135949,0.94329228019457
"DBLOAMIM_00007",0,NA,NA,NA,NA,NA
"DBLOAMIM_00008",0,NA,NA,NA,NA,NA
"DBLOAMIM_00009",0.0546217719593237,1.68656020108106,4.55935394397635,0.369912101978677,0.711447983984052,0.845411054116018
"DBLOAMIM_00010",0,NA,NA,NA,NA,NA
"DBLOAMIM_00011",0,NA,NA,NA,NA,NA
"DBLOAMIM_00012",0,NA,NA,NA,NA,NA
"DBLOAMIM_00013",0,NA,NA,NA,NA,NA
"DBLOAMIM_00014",0,NA,NA,NA,NA,NA
"DBLOAMIM_00015",0,NA,NA,NA,NA,NA
"DBLOAMIM_00016",0,NA,NA,NA,NA,NA
"DBLOAMIM_00017",0,NA,NA,NA,NA,NA
"DBLOAMIM_00018",0,NA,NA,NA,NA,NA
"DBLOAMIM_00019",0,NA,NA,NA,NA,NA
"DBLOAMIM_00020",0,NA,NA,NA,NA,NA
"DBLOAMIM_00021",0,NA,NA,NA,NA,NA
"DBLOAMIM_00022",0,NA,NA,NA,NA,NA
"DBLOAMIM_00023",0,NA,NA,NA,NA,NA
"DBLOAMIM_00024",0,NA,NA,NA,NA,NA
"DBLOAMIM_00025",0,NA,NA,NA,NA,NA
"DBLOAMIM_00026",0,NA,NA,NA,NA,NA
"DBLOAMIM_00027",0,NA,NA,NA,NA,NA
"DBLOAMIM_00028",0,NA,NA,NA,NA,NA
"DBLOAMIM_00029",0,NA,NA,NA,NA,NA
"DBLOAMIM_00030",63.6796806781923,0.500068366349325,0.358808884445301,1.39369003396447,0.163411227020902,0.344325916015592
"DBLOAMIM_00031",0,NA,NA,NA,NA,NA
"DBLOAMIM_00032",0,NA,NA,NA,NA,NA
"DBLOAMIM_00033",0,NA,NA,NA,NA,NA
"DBLOAMIM_00034",0,NA,NA,NA,NA,NA
"DBLOAMIM_00035",0,NA,NA,NA,NA,NA
"DBLOAMIM_00036",0,NA,NA,NA,NA,NA
"DBLOAMIM_00037",0,NA,NA,NA,NA,NA
"DBLOAMIM_00038",0,NA,NA,NA,NA,NA
"DBLOAMIM_00039",0,NA,NA,NA,NA,NA
"DBLOAMIM_00040",0,NA,NA,NA,NA,NA
"DBLOAMIM_00041",0,NA,NA,NA,NA,NA
"DBLOAMIM_00042",0,NA,NA,NA,NA,NA
"DBLOAMIM_00043",0,NA,NA,NA,NA,NA
"DBLOAMIM_00044",0,NA,NA,NA,NA,NA
"DBLOAMIM_00045",1175.61686500164,-0.0610182526819478,0.182651344129253,-0.334069551871288,0.738327075534658,0.860552976239967
"DBLOAMIM_00046",844.718048793971,0.261735883121904,0.202107045819969,1.29503591554671,0.195307840059241,0.391406813942809
"DBLOAMIM_00047",444.451539507222,0.104567549773941,0.188297445649569,0.555331748729859,0.578667766679242,0.752262971782434
"DBLOAMIM_00048",182.416381966002,-0.0266585219315007,0.227105954464984,-0.117383632649804,0.906556053654378,0.959716792050655
"DBLOAMIM_00049",201.193459092502,-0.18827779418752,0.221686114296358,-0.849298995496957,0.395714939663663,0.604572155679415
"DBLOAMIM_00050",1790.32218090031,0.305851259041175,0.179195386410908,1.70680320050113,0.0878586373674261,0.222858291602893
"DBLOAMIM_00051",4523.24580033786,0.0485871045073418,0.176707149140873,0.274958340641937,0.783348244451774,0.885310089555461
"DBLOAMIM_00054",427.688506934196,-0.202166281761321,0.184839724322384,-1.09373827786454,0.274069781162062,0.478576774595056
"DBLOAMIM_00055",97.5900257457263,-0.154844091456922,0.276721513737933,-0.559566509178487,0.575775154018802,0.751150234339633
"DBLOAMIM_00056",328.837606044598,0.192041026451903,0.186304816773495,1.0307893793502,0.302639599819901,0.508369921512016
"DBLOAMIM_00057",46.1259952218408,0.3615596407329,0.363050756468745,0.995892817438672,0.319302225523335,0.525741361229609
"DBLOAMIM_00058",0,NA,NA,NA,NA,NA
"DBLOAMIM_00059",217.829853980197,-0.825075283618444,0.230312972598408,-3.58240907713484,0.00034044012527754,0.00256655160314026
"DBLOAMIM_00060",137.710110241832,0.285201811399795,0.255437712349108,1.11652194492726,0.264198782059597,0.469811111035356
"DBLOAMIM_00061",80.604571124409,-1.22860540192029,0.32167445425708,-3.81940619051582,0.000133773321741697,0.00113797710859998
"DBLOAMIM_00062",116.346088493301,-0.136241999086129,0.257466305679651,-0.529164384156916,0.596691421114612,0.765004581653051
"DBLOAMIM_00063",184.542528236467,0.433117979451628,0.236932170082365,1.82802520780974,0.0675457685323304,0.183870535312874
"DBLOAMIM_00064",181.885865327752,-0.618587197100204,0.228471385552021,-2.70750402990556,0.00677912477317843,0.0319062358483426
"DBLOAMIM_00065",236.620421910002,-0.0335156289673238,0.204396376537588,-0.163973694324079,0.86975185237914,0.941545642429352
"DBLOAMIM_00066",198.227908055104,-0.441375157543152,0.268722030264531,-1.64249710791728,0.100487025025089,0.244233908313874
"DBLOAMIM_00067",742.207671805844,0.206761033516364,0.269012748648629,0.768591951701235,0.442135584835296,0.641044849555368
"DBLOAMIM_00068",82.3582480521931,-0.55043662501684,0.353310223484504,-1.55794140228433,0.119247139496035,0.275471832340383
"DBLOAMIM_00069",508.262985686415,0.0386686689960978,0.166037944441423,0.232890554783638,0.815846392998492,0.90657600069294
"DBLOAMIM_00070",2.85128620215938,-2.80881791041845,1.74310460649927,-1.61138803715256,0.107095172987788,0.254644996011852
"DBLOAMIM_00071",138.213163681325,-0.643705465133122,0.270047360234754,-2.38367619877323,0.0171406767481576,0.0650003374275012
"DBLOAMIM_00072",1137.32250400542,-0.0456302282705295,0.147734959116361,-0.308865474654443,0.757423860777973,0.868728284797194
"DBLOAMIM_00073",559.103429602315,-0.794205149332856,0.168730280637323,-4.70695091795621,2.51449418618735e-06,3.72440962401161e-05
"DBLOAMIM_00074",235.393331785482,-0.798416658658049,0.267428514525954,-2.98553301271306,0.00283084580318932,0.0154958037661537
"DBLOAMIM_00075",305.363739884649,0.406802288073445,0.233145990247447,1.7448393070869,0.0810128445305299,0.21117012684045
"DBLOAMIM_00076",164.279995939231,0.0741003790505326,0.265813879402277,0.278767907895399,0.780422944289099,0.883193246615709
"DBLOAMIM_00077",2227.4158790785,-0.721702279061236,0.147820472973456,-4.88228906689287,1.04861383715891e-06,1.66063499494726e-05
"DBLOAMIM_00078",156.185461645277,0.288333209908883,0.278185156017204,1.03647949458184,0.299978500901951,0.505586255201548
"DBLOAMIM_00079",136.337300655108,0.258793446637312,0.236344054463026,1.09498606692388,0.273522740634835,0.478576774595056
"DBLOAMIM_00080",157.76183618827,-0.0236234859740408,0.251521954134082,-0.0939221629991292,0.925170988130366,0.967433782438647
"DBLOAMIM_00081",101.930905880899,-0.0674064370642114,0.271578832320766,-0.2482021020865,0.803978040002575,0.899002761879058
"DBLOAMIM_00082",240.470166292059,0.160712729210915,0.226898103402215,0.708303537143386,0.478756781010371,0.674977365388642
"DBLOAMIM_00083",497.035777662027,-0.174343429929025,0.18498970767155,-0.942449350958339,0.345962630734561,0.551167799405986
"DBLOAMIM_00084",624.781741467258,0.146231599778219,0.174623166765883,0.837412369083147,0.402360815460633,0.608860897433819
"DBLOAMIM_00085",444.067968699533,0.00529440275347801,0.178077883839972,0.0297308269803777,0.97628172640818,0.989203126628137
"DBLOAMIM_00086",333.938820703465,-0.171973413922766,0.210869989160479,-0.815542385179754,0.414761913277088,0.617605261757367
"DBLOAMIM_00087",858.663923241739,0.367316902168964,0.163555404836739,2.24582552032211,0.0247151859877993,0.0856961897785702
"DBLOAMIM_00088",221.312332005401,0.410093982383649,0.250623601656202,1.6362943460776,0.1017779988399,0.246894991405461
"DBLOAMIM_00089",71.7709458924593,-0.246935388480604,0.345432287232161,-0.714859026234111,0.474696157519468,0.671885848585733
"DBLOAMIM_00091",428.998285964835,-1.19278040300055,0.234521552982142,-5.08601613725191,3.65662954030868e-07,6.13826212166483e-06
"DBLOAMIM_00092",695.551567628156,0.195182331864765,0.24035664334823,0.812052994025146,0.416761223840708,0.619483330360628
"DBLOAMIM_00093",3324.78277224123,0.0374675520401875,0.233571091094731,0.16041176955838,0.872556718908583,0.94329228019457
"DBLOAMIM_00094",956.354447599837,0.0516478962170224,0.166224543233055,0.310711614617642,0.756019866822038,0.868457128037359
"DBLOAMIM_00095",2024.27782687536,-0.0931300262772533,0.155551968005019,-0.59870683393892,0.549368399187243,0.732685184932986
"DBLOAMIM_00096",1803.85955758855,0.192742581855913,0.146277186774496,1.31765305380838,0.18761981678925,0.381296770520848
"DBLOAMIM_00097",861.461025226818,0.241022487303647,0.203429688443595,1.18479504711268,0.236098491352872,0.439236684023469
"DBLOAMIM_00098",263.72711694249,0.50820270657331,0.204928361932337,2.47990420545648,0.0131417683956652,0.0534587606143536
