locus_tag	ftype	gene	EC_number	product
DBLOAMIM_00001	CDS			hypothetical protein
DBLOAMIM_00001	gene			
DBLOAMIM_00002	CDS			hypothetical protein
DBLOAMIM_00002	gene			
DBLOAMIM_00003	CDS			hypothetical protein
DBLOAMIM_00003	gene			
DBLOAMIM_00004	CDS	hpnR_1	2.1.1.-	Hopanoid C-3 methylase
DBLOAMIM_00004	gene	hpnR_1		
DBLOAMIM_00005	CDS			hypothetical protein
DBLOAMIM_00005	gene			
DBLOAMIM_00006	CDS			hypothetical protein
DBLOAMIM_00006	gene			
DBLOAMIM_00007	CDS			hypothetical protein
DBLOAMIM_00007	gene			
DBLOAMIM_00008	CDS			hypothetical protein
DBLOAMIM_00008	gene			
DBLOAMIM_00009	CDS			hypothetical protein
DBLOAMIM_00009	gene			
DBLOAMIM_00010	CDS			hypothetical protein
DBLOAMIM_00010	gene			
DBLOAMIM_00011	CDS	nadA_1	2.5.1.72	Quinolinate synthase A
DBLOAMIM_00011	gene	nadA_1		
DBLOAMIM_00012	CDS	nadA_2	2.5.1.72	Quinolinate synthase A
DBLOAMIM_00012	gene	nadA_2		
DBLOAMIM_00013	CDS	asd_1	1.2.1.11	Aspartate-semialdehyde dehydrogenase
DBLOAMIM_00013	gene	asd_1		
DBLOAMIM_00014	CDS	leuB_1	1.1.1.85	3-isopropylmalate dehydrogenase
DBLOAMIM_00014	gene	leuB_1		
DBLOAMIM_00015	CDS	leuA_1	2.3.3.13	2-isopropylmalate synthase
DBLOAMIM_00015	gene	leuA_1		
DBLOAMIM_00016	CDS			hypothetical protein
DBLOAMIM_00016	gene			
DBLOAMIM_00017	CDS	psd_1	4.1.1.65	Phosphatidylserine decarboxylase proenzyme
DBLOAMIM_00017	gene	psd_1		
DBLOAMIM_00018	CDS	ilvC_1	1.1.1.86	Ketol-acid reductoisomerase (NADP(+))
DBLOAMIM_00018	gene	ilvC_1		
DBLOAMIM_00019	CDS	ilvB_1	2.2.1.6	Acetolactate synthase large subunit
DBLOAMIM_00019	gene	ilvB_1		
DBLOAMIM_00020	CDS	dnaA_1		Chromosomal replication initiator protein DnaA
DBLOAMIM_00020	gene	dnaA_1		
DBLOAMIM_00021	CDS	dnaN_1	2.7.7.7	DNA polymerase III subunit beta
DBLOAMIM_00021	gene	dnaN_1		
DBLOAMIM_00022	CDS	gyrB_1	5.99.1.3	DNA gyrase subunit B
DBLOAMIM_00022	gene	gyrB_1		
DBLOAMIM_00023	CDS			hypothetical protein
DBLOAMIM_00023	gene			
DBLOAMIM_00024	CDS	gyrB_2	5.99.1.3	DNA gyrase subunit B
DBLOAMIM_00024	gene	gyrB_2		
DBLOAMIM_00025	CDS	hpnR_2	2.1.1.-	Hopanoid C-3 methylase
DBLOAMIM_00025	gene	hpnR_2		
DBLOAMIM_00026	CDS			hypothetical protein
DBLOAMIM_00026	gene			
DBLOAMIM_00027	CDS	bepA_1	3.4.-.-	Beta-barrel assembly-enhancing protease
DBLOAMIM_00027	gene	bepA_1		
DBLOAMIM_00028	CDS			hypothetical protein
	sig_peptide			putative signal peptide
DBLOAMIM_00028	gene			
DBLOAMIM_00029	CDS			hypothetical protein
DBLOAMIM_00029	gene			
DBLOAMIM_00030	CDS			hypothetical protein
DBLOAMIM_00030	gene			
DBLOAMIM_00031	CDS	fosA_1	2.5.1.18	Glutathione transferase FosA
DBLOAMIM_00031	gene	fosA_1		
DBLOAMIM_00032	CDS			hypothetical protein
DBLOAMIM_00032	gene			
DBLOAMIM_00033	CDS			hypothetical protein
DBLOAMIM_00033	gene			
DBLOAMIM_00034	CDS			hypothetical protein
DBLOAMIM_00034	gene			
DBLOAMIM_00035	CDS	nadA_3	2.5.1.72	Quinolinate synthase A
DBLOAMIM_00035	gene	nadA_3		
DBLOAMIM_00036	CDS	asd_2	1.2.1.11	Aspartate-semialdehyde dehydrogenase
DBLOAMIM_00036	gene	asd_2		
DBLOAMIM_00037	CDS	leuB_2	1.1.1.85	3-isopropylmalate dehydrogenase
DBLOAMIM_00037	gene	leuB_2		
DBLOAMIM_00038	CDS	leuA_2	2.3.3.13	2-isopropylmalate synthase
DBLOAMIM_00038	gene	leuA_2		
DBLOAMIM_00039	CDS			hypothetical protein
DBLOAMIM_00039	gene			
DBLOAMIM_00040	CDS	psd_2	4.1.1.65	Phosphatidylserine decarboxylase proenzyme
DBLOAMIM_00040	gene	psd_2		
DBLOAMIM_00041	CDS	ilvC_2	1.1.1.86	Ketol-acid reductoisomerase (NADP(+))
DBLOAMIM_00041	gene	ilvC_2		
DBLOAMIM_00042	CDS	ilvB_2	2.2.1.6	Acetolactate synthase large subunit
DBLOAMIM_00042	gene	ilvB_2		
DBLOAMIM_00043	CDS	dnaA_2		Chromosomal replication initiator protein DnaA
DBLOAMIM_00043	gene	dnaA_2		
DBLOAMIM_00044	CDS	dnaN_2	2.7.7.7	DNA polymerase III subunit beta
DBLOAMIM_00044	gene	dnaN_2		
DBLOAMIM_00045	CDS	gyrB_3	5.99.1.3	DNA gyrase subunit B
DBLOAMIM_00045	gene	gyrB_3		
DBLOAMIM_00046	CDS	gyrA	5.99.1.3	DNA gyrase subunit A
DBLOAMIM_00046	gene	gyrA		
DBLOAMIM_00047	CDS	bamD_1		Outer membrane protein assembly factor BamD
	sig_peptide			putative signal peptide
DBLOAMIM_00047	gene	bamD_1		
DBLOAMIM_00048	CDS	queE	4.3.99.3	7-carboxy-7-deazaguanine synthase
DBLOAMIM_00048	gene	queE		
DBLOAMIM_00049	CDS	queC	6.3.4.20	7-cyano-7-deazaguanine synthase
DBLOAMIM_00049	gene	queC		
DBLOAMIM_00050	CDS	pepA	3.4.11.1	Cytosol aminopeptidase
DBLOAMIM_00050	gene	pepA		
DBLOAMIM_00051	CDS	smpB		SsrA-binding protein
DBLOAMIM_00051	gene	smpB		
DBLOAMIM_00052	tmRNA	ssrA		transfer-messenger RNA, SsrA
DBLOAMIM_00053	misc_RNA			tmRNA
DBLOAMIM_00052	gene	ssrA		
DBLOAMIM_00053	gene			
DBLOAMIM_00054	CDS		2.1.1.-	putative methyltransferase
DBLOAMIM_00054	gene			
DBLOAMIM_00055	CDS			hypothetical protein
DBLOAMIM_00055	gene			
DBLOAMIM_00056	CDS	ybaQ_1		putative HTH-type transcriptional regulator YbaQ
DBLOAMIM_00056	gene	ybaQ_1		
DBLOAMIM_00057	CDS			hypothetical protein
DBLOAMIM_00057	gene			
DBLOAMIM_00058	CDS			hypothetical protein
DBLOAMIM_00058	gene			
DBLOAMIM_00059	CDS	higB-1		Toxin HigB-1
DBLOAMIM_00059	gene	higB-1		
DBLOAMIM_00060	CDS			hypothetical protein
DBLOAMIM_00060	gene			
DBLOAMIM_00061	CDS			hypothetical protein
DBLOAMIM_00061	gene			
DBLOAMIM_00062	CDS	leuA_3	2.3.3.13	2-isopropylmalate synthase
DBLOAMIM_00062	gene	leuA_3		
DBLOAMIM_00063	CDS	lrp		Leucine-responsive regulatory protein
DBLOAMIM_00063	gene	lrp		
DBLOAMIM_00064	CDS			hypothetical protein
DBLOAMIM_00064	gene			
DBLOAMIM_00065	CDS	adhT	1.1.1.1	Alcohol dehydrogenase
DBLOAMIM_00065	gene	adhT		
DBLOAMIM_00066	CDS			putative NTE family protein
DBLOAMIM_00066	gene			
DBLOAMIM_00067	CDS		3.1.4.-	3'3'-cGAMP-specific phosphodiesterase 3
DBLOAMIM_00067	gene			
DBLOAMIM_00068	CDS	mutT2	3.6.1.55	Putative 8-oxo-dGTP diphosphatase 2
DBLOAMIM_00068	gene	mutT2		
DBLOAMIM_00069	CDS	radD	3.6.4.12	Putative DNA repair helicase RadD
DBLOAMIM_00069	gene	radD		
DBLOAMIM_00070	CDS			hypothetical protein
DBLOAMIM_00070	gene			
DBLOAMIM_00071	CDS			hypothetical protein
DBLOAMIM_00071	gene			
DBLOAMIM_00072	CDS	dosC	2.7.7.65	Diguanylate cyclase DosC
DBLOAMIM_00072	gene	dosC		
DBLOAMIM_00073	CDS	mtcA1	4.2.1.1	Beta-carbonic anhydrase 1
DBLOAMIM_00073	gene	mtcA1		
DBLOAMIM_00074	CDS	sqr	1.8.5.4	Sulfide-quinone reductase
DBLOAMIM_00074	gene	sqr		
DBLOAMIM_00075	CDS			hypothetical protein
DBLOAMIM_00075	gene			
	sig_peptide			putative signal peptide
DBLOAMIM_00076	CDS			hypothetical protein
DBLOAMIM_00076	gene			
DBLOAMIM_00077	CDS	yjcC	3.1.4.52	Putative cyclic-di-GMP phosphodiesterase YjcC
DBLOAMIM_00077	gene	yjcC		
DBLOAMIM_00078	CDS	queA	2.4.99.17	S-adenosylmethionine:tRNA ribosyltransferase-isomerase
DBLOAMIM_00078	gene	queA		
DBLOAMIM_00079	CDS	ubiE_1	2.1.1.163	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
DBLOAMIM_00079	gene	ubiE_1		
DBLOAMIM_00080	CDS			hypothetical protein
DBLOAMIM_00080	gene			
DBLOAMIM_00081	CDS			hypothetical protein
DBLOAMIM_00081	gene			
DBLOAMIM_00082	CDS			hypothetical protein
DBLOAMIM_00082	gene			
DBLOAMIM_00083	CDS			hypothetical protein
DBLOAMIM_00083	gene			
DBLOAMIM_00084	CDS	resE	2.7.13.3	Sensor histidine kinase ResE
DBLOAMIM_00084	gene	resE		
DBLOAMIM_00085	CDS	zraR_1		Transcriptional regulatory protein ZraR
DBLOAMIM_00085	gene	zraR_1		
DBLOAMIM_00086	CDS	fabH_1	2.3.1.180	3-oxoacyl-[acyl-carrier-protein] synthase 3
DBLOAMIM_00086	gene	fabH_1		
DBLOAMIM_00087	CDS	bamD_2		Outer membrane protein assembly factor BamD
DBLOAMIM_00087	gene	bamD_2		
DBLOAMIM_00088	CDS	sirC	1.3.1.76	Precorrin-2 dehydrogenase
DBLOAMIM_00088	gene	sirC		
DBLOAMIM_00089	CDS			hypothetical protein
DBLOAMIM_00089	gene			
DBLOAMIM_00090	tRNA			tRNA-Leu(gag)
DBLOAMIM_00090	gene			
DBLOAMIM_00091	CDS	bdlA_1		Biofilm dispersion protein BdlA
DBLOAMIM_00091	gene	bdlA_1		
DBLOAMIM_00092	CDS	pyrE_1	2.4.2.10	Orotate phosphoribosyltransferase
DBLOAMIM_00092	gene	pyrE_1		
DBLOAMIM_00093	CDS			hypothetical protein
DBLOAMIM_00093	gene			
DBLOAMIM_00094	CDS	mrcA		Penicillin-binding protein 1A
DBLOAMIM_00094	gene	mrcA		
DBLOAMIM_00095	CDS	gap	1.2.1.12	Glyceraldehyde-3-phosphate dehydrogenase
DBLOAMIM_00095	gene	gap		
DBLOAMIM_00096	CDS	pgk	2.7.2.3	Phosphoglycerate kinase
DBLOAMIM_00096	gene	pgk		
DBLOAMIM_00097	CDS	tpiA	5.3.1.1	Triosephosphate isomerase
DBLOAMIM_00097	gene	tpiA		
DBLOAMIM_00098	CDS	secG		Protein-export membrane protein SecG
DBLOAMIM_00098	gene	secG		
DBLOAMIM_00099	CDS			putative ABC transporter-binding protein
	sig_peptide			putative signal peptide
DBLOAMIM_00099	gene			
DBLOAMIM_00100	CDS	dppB_1		Dipeptide transport system permease protein DppB
